Kpmag,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase
13.92,12.07,0.28,1.793,0.019,295.6, 23.6,  5.2, 0.8,4359,152,1.969,0.013,-0.2,0.3,1.26,0.13,19.27,0.75,1.09,0.11,17.92,0.69,1.22,0.13,18.98,0.74,0
12.16,6.67,0.23,1.228,0.067,455.9, 30.4,  2.9, 0.7,4444,130,1.715,0.017,-0.15,0.3,1.0,0.25,22.92,2.66,0.85,0.2,21.14,2.37,0.97,0.24,22.64,2.62,0
9.32,13.33,0.45,1.817,0.016,198.2, 13.3,  5.5, 0.6,4466,126,2.017,0.017,0.18,0.3,1.67,0.2,20.98,0.9,1.49,0.18,19.84,0.85,1.67,0.2,20.96,0.9,0
13.63,12.43,0.31,1.648,0.079,279.9, 54.5,  3.6, 0.5,4736,165,2.0,0.014,-1.0,0.3,2.18,0.47,24.49,2.49,1.95,0.41,23.14,2.29,2.1,0.45,24.0,2.42,0
12.67,6.84,0.3,1.107,0.059,271.7, 24.6,  2.8, 0.6,4214,147,1.715,0.021,0.06,0.3,1.5,0.39,28.16,3.31,1.32,0.33,26.44,3.03,1.47,0.38,27.87,3.26,0
13.98,9.83,0.27,1.481,0.022,304.2, 28.8,  3.9, 0.7,4335,151,1.878,0.015,-0.26,0.3,1.45,0.17,22.92,1.06,1.28,0.15,21.53,0.98,1.41,0.17,22.61,1.04,0
12.63,8.89,0.17,1.593,0.022,218.2, 15.9,  5.2, 0.8,4561,80,1.846,0.01,-0.37,0.15,0.86,0.08,18.39,0.69,0.73,0.07,16.87,0.62,0.84,0.08,18.17,0.68,0
12.43,16.84,0.53,1.872,0.022,122.9,  8.1,  9.1, 1.2,4595,80,2.125,0.015,0.05,0.15,3.12,0.36,25.32,1.08,3.05,0.35,25.05,1.06,3.19,0.36,25.62,1.09,0
8.86,6.47,0.25,1.075,0.039,309.2, 24.9,  3.1, 0.5,4144,80,1.687,0.018,0.11,0.15,1.39,0.27,28.01,2.35,1.22,0.23,26.2,2.15,1.36,0.26,27.68,2.32,0
13.11,16.73,0.49,2.4,0.053,258.8, 36.0,  4.8, 0.6,4387,100,2.112,0.014,-0.15,0.3,1.06,0.14,14.95,0.84,0.9,0.12,13.79,0.75,1.03,0.14,14.74,0.82,0
12.94,7.49,0.16,1.242,0.042,350.6, 29.7,  3.3, 0.7,4411,154,1.764,0.013,-0.32,0.3,1.33,0.22,25.07,1.87,1.16,0.18,23.39,1.69,1.29,0.21,24.68,1.82,0
13.8,16.41,1.51,2.177,0.064,197.0, 27.6,  8.1, 2.5,4507,134,2.109,0.041,-0.06,0.3,1.53,0.47,18.06,2.01,1.36,0.41,17.0,1.87,1.51,0.46,17.96,1.99,0
13.07,17.77,0.5,2.381,0.087, 92.8,  6.8,  9.9, 2.3,4470,156,2.142,0.015,-0.18,0.3,1.34,0.24,16.29,1.33,1.17,0.21,15.21,1.2,1.31,0.24,16.1,1.3,0
12.63,16.64,0.48,2.303,0.015,221.1, 11.5,  7.0, 1.0,4480,130,2.114,0.015,0.15,0.3,1.26,0.13,16.32,0.61,1.11,0.12,15.32,0.57,1.25,0.13,16.26,0.61,0
12.94,9.68,0.18,1.512,0.035,347.3, 25.3,  3.7, 0.4,4297,80,1.87,0.01,-0.42,0.15,1.26,0.15,21.57,1.14,1.09,0.13,20.12,1.03,1.21,0.14,21.18,1.11,0
12.51,6.73,0.16,1.305,0.031,405.0, 45.0,  2.7, 0.8,4296,150,1.712,0.013,-0.1,0.3,0.76,0.1,20.13,1.16,0.62,0.08,18.2,1.01,0.75,0.1,20.04,1.15,0
12.27,24.52,0.51,2.719,0.048,173.7, 25.8,  7.3, 1.0,4624,136,2.289,0.012,-0.01,0.3,2.18,0.24,17.53,0.8,2.0,0.22,16.78,0.76,2.19,0.24,17.56,0.8,0
13.5,8.23,0.15,1.722,0.048,227.4, 20.4,  3.4, 0.5,5068,165,1.835,0.011,-0.97,0.3,0.59,0.08,15.36,0.96,0.58,0.08,15.27,0.95,0.64,0.09,16.05,1.02,0
12.85,21.66,0.58,3.134,0.141,157.4,  7.9, 10.5, 2.0,4788,80,2.243,0.013,-0.36,0.15,0.9,0.18,11.86,1.13,0.81,0.16,11.23,1.04,0.89,0.18,11.83,1.13,0
12.6,5.93,0.2,1.089,0.023,536.8, 47.4,  2.8, 0.5,4221,147,1.653,0.017,-0.04,0.3,1.04,0.15,25.23,1.47,0.88,0.13,23.2,1.33,1.01,0.15,24.83,1.44,0
13.98,17.11,0.45,2.341,0.009,216.4, 12.9,  6.9, 0.9,4380,100,2.121,0.013,0.11,0.3,1.24,0.12,16.06,0.52,1.08,0.1,14.97,0.49,1.22,0.11,15.92,0.52,0
13.28,17.87,0.31,2.422,0.015,228.0, 11.1,  7.0, 0.7,4201,125,2.131,0.011,-1.53,0.3,1.16,0.09,15.34,0.46,1.08,0.09,14.78,0.44,1.13,0.09,15.11,0.45,0
11.55,22.73,1.46,2.778,0.411,152.3, 30.9,  7.5, 2.0,4301,150,2.241,0.029,0.21,0.3,1.43,0.89,15.01,4.56,1.25,0.76,14.04,4.13,1.41,0.88,14.9,4.51,0
13.81,15.03,0.49,2.075,0.012,205.7, 16.3,  5.6, 0.7,4372,153,2.065,0.017,-0.14,0.3,1.36,0.16,17.94,0.74,1.19,0.14,16.75,0.69,1.33,0.16,17.71,0.73,0
10.0,12.24,0.81,2.012,0.551,200.9, 49.0,  3.9, 1.3,4435,155,1.978,0.03,0.0,0.3,0.85,0.95,15.64,8.64,0.72,0.78,14.44,7.67,0.84,0.93,15.56,8.57,0
13.15,97.02,2.27,7.787,0.051, 34.8,  2.8, 49.3,10.8,4925,100,2.9,0.012,-0.35,0.3,2.21,0.2,8.73,0.28,2.07,0.18,8.46,0.27,2.24,0.2,8.79,0.28,0
9.64,10.62,1.12,1.746,0.083,152.9, 42.5,  3.7, 2.0,4568,100,1.923,0.046,-0.3,0.3,1.02,0.38,18.29,2.62,0.88,0.32,16.93,2.38,1.0,0.37,18.05,2.58,0
9.3,14.26,0.66,1.949,0.083,130.0, 23.8,  4.4, 1.1,4682,134,2.057,0.022,0.29,0.3,1.65,0.38,19.96,1.98,1.53,0.34,19.22,1.88,1.68,0.38,20.13,2.0,0
9.84,14.36,0.9,1.85,0.056,129.1,  9.9,  5.6, 0.9,4532,80,2.053,0.028,-0.0,0.15,1.98,0.45,21.95,1.95,1.79,0.41,20.88,1.83,1.97,0.45,21.9,1.94,0
13.88,12.64,0.3,1.871,0.03,240.5, 15.9,  5.3, 0.7,4871,151,2.013,0.013,-0.24,0.3,1.44,0.16,19.59,0.89,1.33,0.15,18.81,0.84,1.47,0.17,19.75,0.9,0
11.31,17.79,0.77,1.987,0.025, 71.2,  4.9,  8.5, 2.4,4568,100,2.147,0.02,0.16,0.3,2.87,0.42,23.67,1.26,2.78,0.41,23.29,1.24,2.92,0.43,23.87,1.27,0
11.17,13.49,1.02,1.774,0.029,138.5, 10.0,  6.3, 1.2,4595,160,2.028,0.034,-0.42,0.3,1.99,0.48,22.58,1.92,1.79,0.44,21.43,1.82,1.94,0.47,22.3,1.9,0
10.65,18.91,0.71,2.46,0.077,204.0, 25.8,  6.4, 1.7,4394,80,2.165,0.017,0.34,0.15,1.38,0.24,16.1,1.21,1.22,0.21,15.13,1.11,1.37,0.24,16.04,1.2,0
12.6,4.93,0.19,1.091,0.025,557.5, 51.6,  2.1, 0.4,4087,143,1.566,0.019,0.14,0.3,0.57,0.09,20.57,1.31,0.43,0.07,17.87,1.1,0.59,0.09,20.93,1.34,0
8.37,23.05,0.42,2.667,0.02,109.5,  6.2,  9.1, 1.8,4641,137,2.263,0.011,0.07,0.3,1.97,0.17,17.15,0.54,1.79,0.15,16.38,0.51,1.98,0.17,17.2,0.54,0
9.41,17.29,0.57,2.295,0.074, 87.2, 13.4,  7.9, 2.2,4664,80,2.139,0.015,0.01,0.15,1.53,0.26,17.42,1.29,1.38,0.23,16.55,1.2,1.54,0.26,17.48,1.3,0
11.55,15.42,0.26,1.983,0.03,286.9, 40.0,  4.7, 0.8,4498,130,2.082,0.01,0.31,0.3,1.84,0.18,20.44,0.82,1.67,0.16,19.45,0.77,1.85,0.18,20.49,0.82,0
9.69,5.31,0.43,0.943,0.059,504.0,113.0,  2.2, 0.6,4166,123,1.602,0.036,0.01,0.3,1.31,0.46,29.95,4.5,1.14,0.39,27.93,4.09,1.27,0.45,29.53,4.41,0
10.6,7.86,0.91,1.167,0.047,233.0, 50.6,  2.9, 1.2,4259,80,1.777,0.051,0.04,0.15,1.87,0.72,29.27,4.15,1.69,0.65,27.84,3.92,1.85,0.71,29.09,4.12,0
13.21,20.48,1.79,2.679,0.071,134.2, 17.5,  9.1, 2.2,4618,100,2.211,0.038,-0.55,0.3,1.34,0.39,15.07,1.56,1.16,0.33,14.0,1.44,1.29,0.37,14.76,1.53,0
8.83,6.88,0.42,1.112,0.075,261.3, 50.3,  2.6, 0.7,4070,81,1.71,0.027,0.0,0.3,1.42,0.47,27.57,4.11,1.26,0.41,25.94,3.77,1.39,0.45,27.24,4.04,0
11.2,17.49,0.96,2.171,0.206,135.0, 18.6,  6.6, 1.7,4569,80,2.14,0.024,-0.21,0.15,1.91,0.8,19.5,3.86,1.72,0.7,18.5,3.58,1.89,0.78,19.36,3.82,0
13.98,8.39,0.25,1.308,0.019,212.2, 21.7,  3.0, 0.6,4415,154,1.813,0.016,-0.26,0.3,1.52,0.19,25.32,1.2,1.34,0.17,23.8,1.11,1.48,0.18,25.01,1.18,0
11.81,9.04,0.27,1.408,0.017,323.9, 23.5,  3.7, 0.5,4335,151,1.842,0.016,-1.67,0.3,1.38,0.17,23.33,1.04,1.23,0.15,22.0,0.97,1.29,0.15,22.53,1.0,0
13.15,14.32,0.63,2.013,0.048,382.3, 57.7,  4.9, 0.7,4317,151,2.041,0.021,-0.02,0.3,1.3,0.23,18.04,1.24,1.13,0.2,16.8,1.13,1.27,0.22,17.83,1.22,0
13.68,18.58,0.5,2.991,0.116,135.6,  8.8,  7.6, 3.8,4951,80,2.184,0.013,-1.06,0.15,0.72,0.13,11.35,0.95,0.64,0.11,10.72,0.87,0.74,0.13,11.57,0.98,0
9.06,23.52,0.88,2.621,0.172, 90.6, 12.8,  7.5, 2.0,4678,163,2.274,0.018,-0.16,0.3,2.27,0.66,18.2,2.52,2.09,0.6,17.46,2.37,2.27,0.66,18.19,2.51,0
10.07,19.36,1.67,2.254,0.126, 84.7, 13.6,  7.6, 2.5,4875,145,2.198,0.038,-0.15,0.3,2.46,0.85,20.68,2.95,2.37,0.82,20.27,2.88,2.51,0.87,20.89,2.99,0
12.13,12.84,0.66,1.805,0.169,190.8, 11.0,  6.1, 1.4,4820,147,2.017,0.024,0.01,0.3,1.71,0.7,21.26,4.15,1.6,0.64,20.52,3.94,1.75,0.72,21.46,4.21,0
9.35,12.23,0.9,1.544,0.053,192.6, 25.5,  5.2, 1.2,4343,100,1.974,0.033,0.05,0.3,2.37,0.63,26.28,2.69,2.21,0.58,25.39,2.58,2.37,0.63,26.3,2.69,0
13.88,5.14,0.16,1.021,0.026,498.8, 58.6,  2.1, 0.7,4131,144,1.586,0.016,0.06,0.3,0.85,0.13,24.62,1.57,0.7,0.1,22.29,1.38,0.83,0.13,24.36,1.55,0
13.88,15.22,0.23,2.28,0.021,136.1, 11.5,  4.9, 0.7,4858,100,2.093,0.009,-1.77,0.3,1.14,0.09,15.86,0.47,0.94,0.07,14.43,0.42,1.08,0.08,15.43,0.45,0
11.79,20.02,1.21,2.641,0.066,168.4,  7.5, 10.5, 1.8,4710,135,2.205,0.027,-0.04,0.3,1.37,0.29,15.31,1.24,1.24,0.26,14.57,1.17,1.38,0.3,15.35,1.24,0
11.5,22.65,1.67,2.749,0.061,112.2,  7.8, 11.5, 2.8,4520,80,2.25,0.033,0.4,0.15,1.59,0.39,15.66,1.37,1.45,0.35,14.95,1.3,1.62,0.39,15.79,1.38,0
13.0,6.07,0.57,1.037,0.098,358.2,128.2,  1.6, 0.7,4373,134,1.671,0.041,-0.58,0.3,1.44,0.68,28.99,6.14,1.27,0.59,27.3,5.65,1.39,0.65,28.49,5.99,0
12.98,7.65,0.15,1.306,0.027,271.8, 29.8,  4.4, 1.4,4270,80,1.766,0.01,0.24,0.15,1.1,0.12,22.78,1.11,0.95,0.1,21.07,1.0,1.08,0.12,22.54,1.09,0
14.39,5.46,0.45,1.0,0.015,266.6, 27.2,  2.6, 0.5,4419,154,1.627,0.037,-0.09,0.3,1.23,0.32,28.19,2.57,1.06,0.28,26.22,2.38,1.2,0.32,27.87,2.54,0
10.56,17.21,0.43,2.14,0.025,119.1,  7.8,  7.8, 2.2,4594,80,2.134,0.012,0.19,0.15,1.95,0.19,19.79,0.75,1.77,0.17,18.91,0.71,1.96,0.19,19.85,0.76,0
13.38,15.07,0.75,2.222,0.087,186.7, 30.6,  6.3, 1.5,4622,161,2.078,0.023,-0.32,0.3,1.13,0.26,16.13,1.54,0.98,0.22,14.99,1.39,1.11,0.25,15.92,1.51,0
11.38,16.43,0.69,2.309,0.076,178.7, 26.6,  6.2, 1.2,4466,80,2.108,0.019,-0.03,0.15,1.2,0.22,16.01,1.28,1.04,0.19,14.92,1.16,1.18,0.22,15.87,1.26,0
10.78,6.25,0.53,1.044,0.027,245.5, 25.2,  3.3, 1.0,4242,133,1.677,0.038,-0.39,0.3,1.46,0.41,29.02,2.95,1.31,0.37,27.48,2.77,1.43,0.4,28.69,2.91,0
8.51,5.86,0.36,1.144,0.084,503.4, 44.9,  2.9, 0.9,4369,126,1.656,0.028,-0.05,0.3,0.87,0.31,23.02,3.69,0.73,0.25,21.1,3.27,0.86,0.3,22.8,3.65,0
14.36,16.13,0.31,2.249,0.02,225.4, 24.1,  5.0, 0.8,4615,155,2.107,0.012,-0.14,0.3,1.32,0.12,16.84,0.57,1.17,0.11,15.8,0.53,1.31,0.12,16.74,0.57,0
11.16,17.73,0.61,2.284,0.009,175.4,  9.5,  8.3, 1.2,4519,128,2.144,0.017,0.28,0.3,1.6,0.19,17.76,0.72,1.44,0.17,16.84,0.68,1.61,0.19,17.8,0.72,0
10.99,6.88,0.35,1.247,0.058,540.1, 82.6,  2.7, 0.4,4354,100,1.724,0.023,-0.34,0.3,0.99,0.24,22.68,2.44,0.83,0.2,20.77,2.16,0.96,0.23,22.24,2.37,0
13.67,11.74,0.44,1.964,0.051,302.6, 51.5,  4.3, 1.1,4334,80,1.955,0.017,-0.35,0.15,0.8,0.13,15.57,1.03,0.65,0.1,14.05,0.9,0.78,0.12,15.39,1.01,0
11.3,16.13,0.69,2.151,0.104,168.9, 23.1,  6.2, 1.4,4506,80,2.102,0.019,-0.01,0.15,1.52,0.36,18.18,1.94,1.35,0.31,17.13,1.79,1.51,0.36,18.1,1.93,0
9.55,9.96,0.76,1.388,0.06,218.9, 37.6,  4.2, 1.9,4339,124,1.884,0.034,-0.0,0.3,1.96,0.57,26.47,3.09,1.77,0.51,25.19,2.9,1.93,0.56,26.3,3.07,0
13.64,113.57,2.63,8.581,0.051, 19.8,  1.9, 51.9,16.8,5012,158,2.973,0.013,-0.27,0.3,2.47,0.23,8.49,0.28,2.43,0.23,8.42,0.28,2.55,0.24,8.62,0.29,0
9.44,4.98,0.23,0.974,0.063,369.8, 41.8,  2.6, 0.7,4112,143,1.571,0.022,0.1,0.3,0.93,0.28,26.14,3.63,0.77,0.22,23.81,3.18,0.9,0.27,25.79,3.56,0
12.26,7.46,0.39,1.435,0.073,313.5, 28.7,  3.4, 1.0,4836,143,1.782,0.024,-0.36,0.3,0.85,0.22,19.57,2.28,0.78,0.2,18.83,2.16,0.85,0.23,19.63,2.29,0
12.88,19.24,0.29,2.617,0.019,204.5, 12.5,  7.4, 1.4,4821,143,2.193,0.01,-0.23,0.3,1.31,0.1,15.16,0.44,1.19,0.09,14.47,0.42,1.32,0.1,15.21,0.45,0
11.35,12.69,0.71,1.946,0.103,311.2, 50.7,  5.1, 0.9,4740,138,2.009,0.026,-0.22,0.3,1.2,0.33,17.93,2.18,1.07,0.29,16.94,2.01,1.19,0.33,17.88,2.17,0
13.64,10.46,0.94,1.685,0.048,176.3, 14.1,  5.0, 1.6,5033,159,1.938,0.04,-0.16,0.3,1.3,0.39,20.31,2.21,1.28,0.38,20.13,2.19,1.32,0.4,20.45,2.22,0
11.3,9.55,0.6,1.455,0.035,329.8, 51.2,  4.1, 0.8,4405,128,1.87,0.028,0.02,0.3,1.46,0.32,23.28,1.9,1.29,0.28,21.83,1.76,1.44,0.32,23.1,1.89,0
13.43,19.76,0.61,2.582,0.018,215.7, 12.4,  8.3, 1.1,4318,80,2.181,0.015,-0.14,0.15,1.27,0.14,15.14,0.58,1.1,0.12,14.09,0.53,1.23,0.13,14.91,0.57,0
11.07,10.67,0.61,1.516,0.08,272.9, 38.1,  4.5, 0.8,4741,139,1.933,0.026,-0.24,0.3,1.93,0.54,24.84,3.02,1.74,0.48,23.58,2.81,1.92,0.53,24.79,3.01,0
11.82,6.6,0.2,1.065,0.017,479.3, 40.0,  2.8, 0.6,4141,144,1.696,0.016,-0.08,0.3,1.53,0.19,29.12,1.43,1.37,0.17,27.56,1.33,1.51,0.19,28.84,1.41,0
13.26,5.67,0.28,1.013,0.01,465.7, 51.6,  2.3, 0.3,4190,146,1.632,0.023,-0.04,0.3,1.21,0.2,27.78,1.59,1.04,0.17,25.77,1.47,1.17,0.19,27.34,1.56,0
10.59,19.31,0.42,2.462,0.075,187.3, 22.8,  6.4, 0.9,4592,132,2.184,0.012,0.25,0.3,1.57,0.23,16.78,1.14,1.42,0.21,15.99,1.06,1.59,0.24,16.87,1.15,0
10.35,8.64,0.3,1.343,0.054,321.3, 74.1,  2.6, 1.0,4503,132,1.831,0.017,-0.63,0.3,1.54,0.31,25.0,2.25,1.36,0.27,23.49,2.06,1.48,0.29,24.51,2.19,0
12.38,8.43,0.18,1.616,0.033,297.4, 25.5,  3.3, 0.6,4810,145,1.834,0.012,-0.5,0.3,0.75,0.09,17.4,0.88,0.67,0.08,16.43,0.81,0.75,0.09,17.35,0.87,0
12.94,15.45,0.64,2.452,0.047,199.9, 11.7,  7.1, 2.9,4945,149,2.103,0.02,-0.54,0.3,0.91,0.14,14.04,0.85,0.85,0.13,13.59,0.81,0.92,0.14,14.1,0.85,0
10.64,15.54,0.76,2.323,0.024,168.3, 14.1,  6.8, 1.8,4636,80,2.092,0.022,-0.21,0.15,1.05,0.17,15.24,0.84,0.91,0.14,14.24,0.78,1.03,0.16,15.11,0.84,0
13.32,21.79,0.36,2.782,0.013,174.4,  9.4,  7.9, 0.9,4839,149,2.248,0.011,-0.46,0.3,1.5,0.12,15.22,0.43,1.34,0.11,14.39,0.4,1.49,0.12,15.2,0.43,0
10.36,22.39,0.55,2.645,0.013,122.0,  6.6,  8.4, 1.4,4717,140,2.254,0.013,-0.71,0.3,1.91,0.18,17.08,0.57,1.69,0.16,16.07,0.54,1.84,0.18,16.76,0.56,0
13.78,8.17,0.2,1.287,0.02,422.1, 27.5,  3.5, 0.6,4258,149,1.794,0.014,0.0,0.3,1.42,0.16,25.0,1.13,1.24,0.14,23.4,1.04,1.39,0.16,24.72,1.12,0
13.64,19.12,0.96,2.67,0.064,173.5, 23.4,  6.7, 1.0,4581,100,2.179,0.023,-0.66,0.3,1.1,0.2,14.11,1.01,0.92,0.17,12.95,0.91,1.04,0.19,13.72,0.98,0
10.04,21.19,1.22,2.442,0.04, 90.2, 10.4,  8.2, 1.3,4814,80,2.235,0.026,-0.49,0.15,2.3,0.43,19.16,1.3,2.11,0.4,18.35,1.24,2.29,0.43,19.12,1.3,0
8.76,20.29,0.55,2.311,0.024, 66.0,  5.2,  9.6, 1.6,4746,136,2.213,0.014,-0.36,0.3,2.46,0.26,20.34,0.8,2.29,0.24,19.62,0.77,2.45,0.26,20.3,0.8,0
11.04,12.23,0.38,1.796,0.056,344.0, 56.9,  4.1, 0.8,4384,80,1.976,0.015,-0.45,0.15,1.31,0.21,19.52,1.4,1.15,0.18,18.23,1.27,1.27,0.2,19.16,1.36,0
13.97,10.72,0.47,1.616,0.044,157.0, 16.7,  4.9, 1.1,4307,150,1.915,0.021,-0.22,0.3,1.31,0.24,20.95,1.53,1.15,0.2,19.55,1.4,1.27,0.23,20.62,1.5,0
12.98,9.19,0.33,1.428,0.02,289.8, 23.0,  3.8, 0.5,4297,150,1.847,0.018,0.14,0.3,1.35,0.18,22.97,1.16,1.18,0.16,21.43,1.07,1.33,0.18,22.76,1.15,0
15.6,97.3,0.97,9.0,0.055, 67.4,  4.4, 28.8, 2.9,4512,136,2.883,0.009,-0.14,0.3,1.09,0.08,6.27,0.16,0.94,0.07,5.83,0.15,1.07,0.07,6.21,0.16,0
13.14,11.08,0.19,1.754,0.045,282.8, 30.0,  4.0, 0.7,4329,126,1.93,0.011,-0.05,0.3,1.05,0.13,18.41,1.06,0.89,0.11,16.97,0.95,1.02,0.13,18.17,1.04,0
12.3,7.12,0.41,1.128,0.017,408.8, 31.6,  3.1, 0.4,4200,124,1.731,0.026,-0.18,0.3,1.56,0.3,28.18,1.91,1.4,0.27,26.71,1.8,1.53,0.29,27.89,1.89,0
13.3,18.47,0.89,2.597,0.019,198.6, 11.5,  8.9, 1.6,4893,151,2.179,0.022,-0.38,0.3,1.22,0.19,14.89,0.81,1.12,0.18,14.24,0.77,1.24,0.2,14.99,0.81,0
13.81,7.93,0.34,1.395,0.03,279.5, 31.5,  3.4, 1.3,4779,143,1.807,0.02,-0.29,0.3,1.12,0.18,21.91,1.4,1.0,0.16,20.71,1.3,1.11,0.18,21.83,1.39,0
12.48,12.91,0.59,1.565,0.126,189.3, 32.1,  4.6, 1.1,4425,154,2.001,0.022,0.08,0.3,2.71,0.96,27.24,4.6,2.59,0.91,26.6,4.44,2.73,0.97,27.34,4.63,0
12.26,5.42,0.14,1.007,0.016,681.2, 80.4,  2.0, 0.4,4166,145,1.611,0.014,0.0,0.3,1.07,0.13,26.83,1.26,0.91,0.11,24.68,1.14,1.04,0.12,26.38,1.24,0
13.48,17.29,0.27,2.399,0.019,241.2, 13.2,  5.9, 0.5,4683,142,2.14,0.01,-0.48,0.3,1.29,0.1,15.98,0.49,1.11,0.09,14.85,0.45,1.24,0.1,15.72,0.48,0
12.83,8.44,0.23,1.484,0.073,308.1, 27.7,  4.4, 1.0,4519,134,1.821,0.014,-0.41,0.3,0.97,0.21,20.02,2.08,0.82,0.17,18.37,1.84,0.94,0.2,19.68,2.03,0
11.96,15.05,0.41,2.156,0.015,265.9, 19.7,  6.3, 0.7,4316,100,2.062,0.014,0.47,0.3,1.15,0.12,16.53,0.59,0.99,0.1,15.36,0.55,1.13,0.11,16.4,0.59,0
11.09,20.56,0.27,2.714,0.014,193.3, 13.9,  7.1, 0.9,4550,100,2.209,0.009,-0.06,0.3,1.26,0.08,14.63,0.36,1.11,0.07,13.71,0.33,1.25,0.08,14.54,0.36,0
13.96,9.73,0.28,1.519,0.011,335.4, 29.3,  4.0, 0.9,4340,151,1.874,0.015,0.06,0.3,1.27,0.14,21.59,0.85,1.1,0.12,20.1,0.79,1.25,0.14,21.37,0.84,0
11.06,6.03,0.26,1.007,0.028,534.4, 58.6,  2.4, 0.9,4448,155,1.672,0.021,-0.48,0.3,1.63,0.3,30.82,2.28,1.45,0.26,29.12,2.12,1.58,0.29,30.38,2.23,0
13.68,17.61,1.12,2.155,0.185,157.3, 26.6,  9.6, 3.3,4566,159,2.143,0.029,-0.48,0.3,2.01,0.8,19.92,3.68,1.82,0.71,18.95,3.42,1.96,0.78,19.65,3.61,0
12.93,21.48,0.41,2.539,0.013,115.2,  6.3,  8.8, 1.7,4783,148,2.239,0.012,-0.48,0.3,2.03,0.17,17.91,0.54,1.82,0.15,16.96,0.51,1.99,0.17,17.74,0.54,0
15.66,17.66,0.4,2.55,0.014,251.8, 16.4,  6.7, 0.5,4640,162,2.148,0.013,-0.24,0.3,1.06,0.1,14.38,0.49,0.92,0.09,13.42,0.45,1.04,0.1,14.24,0.48,0
12.5,6.98,0.53,1.139,0.121,359.9, 63.9,  3.1, 1.1,4240,100,1.725,0.034,0.55,0.3,1.43,0.69,27.21,6.16,1.27,0.6,25.65,5.66,1.43,0.69,27.22,6.16,0
13.28,10.35,0.49,1.653,0.024,331.8, 25.3,  4.3, 0.5,4409,100,1.904,0.021,0.12,0.3,1.12,0.18,19.54,1.14,0.97,0.15,18.19,1.05,1.1,0.18,19.38,1.13,0
13.72,19.5,0.59,2.817,0.033,159.0,  8.0,  8.5, 1.1,4569,100,2.187,0.015,-0.61,0.3,0.94,0.11,12.91,0.54,0.78,0.09,11.78,0.49,0.89,0.1,12.6,0.53,0
11.93,7.79,0.17,1.179,0.012,370.9, 28.3,  3.3, 0.7,4358,152,1.779,0.013,-0.42,0.3,1.81,0.18,28.76,1.07,1.66,0.16,27.53,1.02,1.79,0.18,28.55,1.06,0
7.81,17.29,0.31,2.245,0.014,177.5, 10.0,  6.5, 0.9,4403,154,2.127,0.012,-0.14,0.3,1.53,0.13,17.69,0.56,1.35,0.12,16.62,0.52,1.5,0.13,17.51,0.55,0
10.41,6.6,0.18,1.023,0.037,323.1, 27.9,  2.6, 0.7,4304,150,1.704,0.015,0.21,0.3,1.91,0.34,32.17,2.59,1.72,0.3,30.53,2.4,1.89,0.34,32.04,2.57,0
13.35,8.17,0.4,1.273,0.015,298.5, 30.9,  3.0, 0.5,4307,150,1.797,0.023,-0.24,0.3,1.51,0.25,25.71,1.51,1.34,0.22,24.24,1.41,1.47,0.25,25.41,1.49,0
13.99,7.76,0.46,1.243,0.019,331.1, 25.1,  4.1, 1.0,4248,148,1.771,0.027,-0.18,0.3,1.39,0.28,25.44,1.79,1.23,0.24,23.86,1.67,1.36,0.27,25.09,1.76,0
11.16,8.24,1.16,1.237,0.107,237.5, 39.8,  4.9, 2.1,4707,137,1.82,0.061,-0.14,0.3,1.99,1.09,28.72,6.42,1.8,0.98,27.35,6.03,1.98,1.09,28.7,6.42,0
13.5,15.56,0.32,2.233,0.019,257.2, 16.0,  5.7, 0.5,4706,139,2.096,0.012,0.04,0.3,1.26,0.11,16.64,0.56,1.15,0.1,15.91,0.53,1.27,0.11,16.7,0.56,0
9.12,9.29,0.48,1.34,0.023,198.1, 17.6,  4.0, 0.8,4508,129,1.862,0.024,0.05,0.3,1.93,0.35,26.99,1.76,1.75,0.31,25.66,1.66,1.93,0.34,26.95,1.76,0
11.41,11.64,0.31,1.823,0.014,260.4, 23.1,  4.6, 0.5,4447,127,1.957,0.014,-0.17,0.3,1.09,0.11,18.16,0.67,0.93,0.09,16.79,0.61,1.06,0.11,17.92,0.66,0
10.2,5.67,0.25,1.076,0.045,466.5, 39.8,  2.6, 0.3,4188,146,1.632,0.021,0.0,0.3,0.95,0.21,24.63,2.39,0.79,0.17,22.5,2.11,0.92,0.2,24.25,2.34,0
12.79,14.89,0.28,2.177,0.015,233.9, 15.6,  5.5, 0.5,4713,137,2.077,0.011,-0.05,0.3,1.22,0.1,16.76,0.52,1.11,0.09,15.95,0.49,1.23,0.1,16.78,0.52,0
12.63,12.62,0.55,2.055,0.045,262.9, 16.4,  6.5, 0.8,4716,140,2.005,0.02,-0.34,0.3,0.94,0.16,15.94,1.04,0.82,0.14,14.92,0.96,0.92,0.15,15.8,1.03,0
