Kpmag,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase
12.23,14.14,0.82,2.158,0.031,183.0, 13.1,  5.9, 0.8,4667,80,2.052,0.026,-0.08,0.15,1.07,0.2,16.12,1.08,0.96,0.18,15.25,1.01,1.06,0.2,16.08,1.08,0
13.82,10.57,0.35,1.61,0.025,170.9, 24.6,  2.8, 0.6,4774,149,1.931,0.016,-0.45,0.3,1.49,0.2,21.89,1.09,1.31,0.17,20.55,1.01,1.46,0.19,21.7,1.08,0
13.84,15.24,0.41,2.165,0.014,238.0, 16.8,  6.2, 0.7,4336,151,2.069,0.015,-0.04,0.3,1.18,0.13,16.64,0.62,1.02,0.11,15.43,0.57,1.15,0.12,16.43,0.62,0
15.26,122.45,1.22,10.834,0.055, 65.6,  5.2, 30.0, 2.7,4794,167,2.996,0.01,-0.83,0.3,1.14,0.08,5.61,0.15,0.96,0.07,5.17,0.14,1.08,0.08,5.47,0.14,0
12.13,5.49,0.12,0.952,0.011,435.2, 49.7,  2.0, 0.5,4224,147,1.62,0.013,-0.06,0.3,1.43,0.15,30.62,1.19,1.25,0.13,28.72,1.1,1.39,0.14,30.24,1.17,0
11.27,67.65,2.97,5.565,0.028, 24.2,  1.4, 24.9, 1.7,5016,80,2.748,0.02,0.16,0.15,2.95,0.41,12.02,0.58,3.08,0.43,12.29,0.59,3.09,0.43,12.3,0.59,0
11.73,10.84,0.34,1.683,0.015,295.3, 23.4,  4.9, 0.7,4482,156,1.928,0.016,-0.38,0.3,1.22,0.15,19.91,0.85,1.05,0.13,18.47,0.78,1.18,0.14,19.56,0.83,0
13.25,18.39,0.38,2.379,0.027,214.1, 14.2,  6.9, 1.9,4535,158,2.16,0.013,-0.34,0.3,1.53,0.15,17.01,0.65,1.34,0.13,15.95,0.6,1.49,0.15,16.79,0.64,0
12.95,29.45,1.86,3.302,0.074, 61.4,  4.1, 14.3, 2.2,5310,183,2.399,0.029,-0.09,0.3,2.14,0.47,15.3,1.23,2.27,0.5,15.77,1.28,2.22,0.49,15.59,1.26,0
11.93,6.05,0.19,1.033,0.038,450.0, 39.1,  2.8, 0.5,4359,152,1.669,0.016,-0.58,0.3,1.44,0.27,29.1,2.41,1.28,0.23,27.43,2.22,1.39,0.26,28.62,2.36,0
13.27,11.07,0.55,2.163,0.061,135.1, 22.5,  4.0, 2.0,5309,185,1.974,0.023,-1.19,0.3,0.62,0.12,13.39,1.05,0.64,0.13,13.67,1.08,0.71,0.14,14.35,1.15,0
11.35,47.41,0.89,4.45,0.024, 44.6,  2.5, 19.0, 2.2,4796,80,2.584,0.01,0.06,0.15,2.32,0.17,12.88,0.35,2.21,0.16,12.58,0.34,2.37,0.18,13.01,0.35,0
13.79,13.56,0.6,1.944,0.124,290.3, 49.5,  4.9, 0.8,4374,153,2.02,0.021,-0.1,0.3,1.3,0.38,18.45,2.53,1.13,0.32,17.19,2.28,1.27,0.37,18.22,2.48,0
13.48,23.49,0.77,2.78,0.013,105.1,  5.5, 10.1, 1.4,4918,149,2.284,0.016,-0.52,0.3,1.92,0.22,16.56,0.66,1.76,0.2,15.85,0.63,1.94,0.22,16.63,0.67,0
10.99,9.87,0.35,1.375,0.085,300.2, 20.6,  5.3, 0.8,4418,154,1.884,0.018,-0.28,0.3,2.03,0.56,26.96,3.52,1.86,0.51,25.82,3.31,2.0,0.55,26.76,3.48,0
13.71,7.35,0.28,1.274,0.013,473.1, 55.4,  2.8, 0.4,3970,80,1.733,0.018,0.0,0.3,0.97,0.13,22.18,1.04,0.81,0.11,20.28,0.94,0.94,0.12,21.85,1.02,0
9.27,13.52,0.26,2.023,0.02,218.0, 17.7,  4.7, 0.5,4490,127,2.025,0.011,-0.19,0.3,1.14,0.1,17.21,0.59,0.98,0.09,15.97,0.54,1.12,0.1,17.0,0.58,0
13.76,8.01,0.64,1.161,0.185,341.5, 72.6,  2.7, 0.6,3900,80,1.766,0.035,0.0,0.3,1.77,1.21,28.83,9.48,1.68,1.13,28.06,9.11,1.79,1.23,29.02,9.57,0
10.33,6.54,0.74,1.035,0.026,250.8, 25.4,  3.6, 1.4,4358,152,1.703,0.05,-0.26,0.3,1.8,0.65,31.33,3.94,1.64,0.59,29.82,3.74,1.78,0.64,31.09,3.91,0
13.03,6.55,0.12,1.231,0.036,503.4, 49.8,  2.6, 0.5,4401,132,1.705,0.011,-0.51,0.3,0.92,0.13,22.29,1.45,0.76,0.11,20.29,1.27,0.88,0.12,21.82,1.4,0
13.74,18.32,0.63,2.794,0.074,153.9, 11.5,  8.0, 1.1,5053,158,2.182,0.017,-0.23,0.3,0.93,0.15,12.96,0.86,0.95,0.15,13.12,0.88,0.93,0.15,12.97,0.86,0
13.05,91.25,0.93,8.018,0.019, 50.3,  2.7, 29.3, 2.5,4780,80,2.867,0.007,0.25,0.15,1.56,0.08,7.63,0.15,1.48,0.08,7.42,0.15,1.59,0.09,7.69,0.15,0
10.18,8.95,0.92,1.437,0.066,243.7, 45.2,  3.9, 0.9,4456,128,1.844,0.045,0.14,0.3,1.29,0.47,22.48,3.12,1.13,0.41,21.08,2.89,1.27,0.46,22.37,3.1,0
10.39,5.28,0.17,0.998,0.039,482.9, 46.0,  2.3, 0.5,4251,148,1.604,0.017,-0.18,0.3,1.06,0.21,26.87,2.35,0.9,0.17,24.73,2.09,1.02,0.2,26.39,2.29,0
13.09,21.13,0.57,2.668,0.031,207.0, 13.7,  8.9, 1.4,4511,135,2.219,0.014,0.1,0.3,1.45,0.16,15.49,0.64,1.29,0.14,14.6,0.59,1.44,0.16,15.46,0.64,0
13.11,23.12,0.45,2.948,0.034,172.1,  7.2,  9.8, 1.6,4546,80,2.26,0.01,0.31,0.15,1.29,0.11,13.94,0.48,1.16,0.1,13.24,0.45,1.29,0.11,13.95,0.48,0
13.77,41.37,1.34,4.095,0.042, 68.4,  3.9, 18.7, 2.1,5042,168,2.535,0.016,0.1,0.3,2.32,0.28,13.61,0.6,2.35,0.29,13.69,0.61,2.4,0.29,13.85,0.61,0
7.99,5.22,0.16,0.925,0.019,410.2, 43.8,  2.5, 0.6,3920,80,1.582,0.014,0.0,0.3,1.23,0.16,29.68,1.6,1.07,0.14,27.79,1.47,1.2,0.16,29.33,1.57,0
13.8,6.89,0.38,1.183,0.121,366.8, 36.2,  2.9, 0.8,4496,157,1.732,0.025,-0.52,0.3,1.29,0.58,25.64,5.46,1.12,0.48,23.83,4.91,1.24,0.55,25.11,5.3,0
8.76,11.94,0.42,1.625,0.027,148.8, 12.4,  5.2, 1.1,4494,132,1.971,0.017,0.46,0.3,1.89,0.26,23.56,1.24,1.73,0.24,22.56,1.17,1.91,0.26,23.69,1.25,0
13.23,16.68,1.24,2.276,0.133,145.2, 21.7,  7.6, 3.5,4931,80,2.136,0.033,-0.46,0.15,1.54,0.5,17.58,2.45,1.41,0.46,16.83,2.31,1.57,0.51,17.74,2.48,0
10.26,16.94,1.96,2.592,0.056,201.4, 27.4,  9.6, 2.8,4500,128,2.123,0.051,0.09,0.3,0.84,0.3,13.14,1.65,0.73,0.26,12.3,1.53,0.84,0.3,13.14,1.65,0
12.35,13.85,1.52,2.036,0.118,231.3, 32.3,  6.3, 1.6,4776,142,2.048,0.048,-0.4,0.3,1.31,0.53,17.95,2.88,1.16,0.46,16.84,2.66,1.29,0.52,17.8,2.86,0
10.56,15.42,0.74,1.982,0.114,184.8, 19.8,  5.8, 1.1,4674,135,2.09,0.022,0.28,0.3,1.95,0.54,20.86,2.64,1.82,0.5,20.11,2.5,1.98,0.55,20.98,2.66,0
11.87,6.25,0.14,1.144,0.075,416.0, 40.8,  2.5, 0.3,4343,152,1.682,0.013,-0.34,0.3,1.05,0.29,24.46,3.3,0.89,0.24,22.48,2.91,1.01,0.28,23.97,3.2,0
8.27,46.2,1.28,4.569,0.028, 43.6,  2.6, 19.5, 2.0,4851,80,2.575,0.013,-0.14,0.15,1.97,0.19,11.98,0.41,1.82,0.18,11.54,0.39,2.0,0.19,12.08,0.42,0
13.25,21.54,0.69,2.718,0.066,145.0, 24.6,  6.5, 1.4,4773,148,2.24,0.016,-0.33,0.3,1.55,0.23,15.65,0.97,1.38,0.2,14.76,0.9,1.54,0.23,15.6,0.97,0
12.6,6.19,0.25,1.142,0.012,412.2, 49.5,  2.9, 0.6,4455,155,1.683,0.02,-0.56,0.3,1.06,0.15,24.61,1.26,0.9,0.13,22.59,1.15,1.01,0.15,24.0,1.22,0
9.81,8.35,0.33,1.281,0.015,310.9, 22.9,  3.6, 0.8,4099,143,1.795,0.019,0.48,0.3,1.46,0.21,25.32,1.3,1.27,0.18,23.59,1.2,1.43,0.21,25.1,1.29,0
13.98,10.73,0.27,1.608,0.021,254.6, 37.6,  3.3, 1.0,4366,152,1.918,0.014,-0.32,0.3,1.37,0.15,21.32,0.91,1.2,0.13,19.95,0.84,1.33,0.15,20.98,0.89,0
13.87,13.65,0.32,1.981,0.018,196.5, 14.7,  5.5, 0.9,4511,157,2.03,0.014,-0.1,0.3,1.29,0.13,18.15,0.68,1.12,0.11,16.97,0.63,1.26,0.13,18.0,0.67,0
13.56,45.25,0.53,4.484,0.026, 64.5,  2.9, 17.1, 1.4,4958,153,2.571,0.009,-0.06,0.3,2.06,0.15,12.32,0.33,1.98,0.14,12.07,0.32,2.11,0.15,12.48,0.33,0
10.72,11.5,0.3,1.75,0.025,175.9, 15.3,  5.3, 1.0,4481,133,1.954,0.014,0.34,0.3,1.25,0.14,19.53,0.85,1.11,0.12,18.44,0.8,1.25,0.14,19.51,0.85,0
11.91,7.31,0.32,1.37,0.054,277.8, 28.6,  3.2, 0.5,4796,147,1.772,0.021,-0.05,0.3,0.95,0.2,20.97,1.94,0.91,0.19,20.52,1.89,0.95,0.2,20.99,1.95,0
13.91,17.32,0.28,2.598,0.024,150.2, 10.2,  6.0, 0.5,4991,154,2.155,0.011,-0.49,0.3,1.03,0.09,14.09,0.45,0.98,0.08,13.73,0.44,1.05,0.09,14.23,0.46,0
